Freq [GHz],dB20(S11diff) [],ang_deg(S11diff) [deg],dB20(S21diff) [],ang_deg(S21diff) [deg],dB20(S21diff) norm2
13.1,-13.6443996695029,161.139057083294,-28.1663664418095,-14.7730311812134,-0.4303219386283
13.2,-13.7870156207993,160.455575773838,-28.1766565596606,-13.9954987199312,-0.440612056479399
13.3,-13.927478199091,160.012707265834,-28.2257622518336,-14.4593502833932,-0.489717748652399
13.4,-14.0529578392472,159.582638070568,-28.1445386599231,-14.5941154929804,-0.408494156741899
13.5,-14.1765233767547,158.985663966254,-28.1251507683116,-14.6129578479109,-0.389106265130398
13.6,-14.323836368899,158.378864865874,-28.1014721278381,-14.8461988742209,-0.365427624656899
13.7,-14.4967663763958,157.896309635871,-28.1184507931306,-15.0266259937972,-0.382406289949397
13.8,-14.6546838700595,157.552859759145,-28.0841370576396,-15.1744053939702,-0.3480925544584
13.9,-14.8049227991674,157.170165954936,-28.0609698433612,-14.8813994890968,-0.324925340179998
14,-14.9583872274625,156.662804369414,-28.1035011737561,-14.7215941176123,-0.367456670574899
14.1,-15.1469719093415,156.193899541452,-28.104263364744,-15.2435154039384,-0.368218861562799
14.2,-15.3485425686737,155.938526063647,-28.0905400572238,-15.0118845859754,-0.3544955540426
14.3,-15.536029421789,155.742020296666,-28.1533123283329,-14.8611654861796,-0.417267825151697
14.4,-15.7184026478266,155.473416310993,-28.1530167903798,-15.0168053300805,-0.4169722871986
14.5,-15.9424212745939,155.230806324375,-28.1389074754071,-15.1882440115801,-0.402862972225897
14.6,-16.1743895116221,155.166412776613,-28.1494019861047,-15.1538798895327,-0.413357482923498
14.7,-16.389210186961,155.269513324545,-28.1611401206107,-15.1390017452189,-0.425095617429498
14.8,-16.6080537482381,155.335650561931,-28.1330011640791,-15.3177889073489,-0.396956660897899
14.9,-16.8364975927021,155.411839111358,-28.1269954035578,-15.4735579703247,-0.390950900376598
15,-17.0658192645141,155.600701656381,-28.1668167431011,-15.3957128811601,-0.4307722399199
15.1,-17.3234109445536,155.972625452477,-28.1628742192523,-15.2674822282555,-0.426829716071097
15.2,-17.5808281292728,156.440082512862,-28.1482165870793,-15.2039389020524,-0.412172083898099
15.3,-17.8268587692513,157.107458617602,-28.1509990106148,-15.1820096334699,-0.414954507433599
15.4,-18.0878636882754,157.983370530556,-28.1422301109662,-15.1882076083392,-0.406185607784998
15.5,-18.3133629844898,159.101245305929,-28.1778920397969,-15.2141650084203,-0.4418475366157
15.6,-18.5123890516183,160.121077772013,-28.1906154046791,-15.3049568721901,-0.454570901497899
15.7,-18.7247313358439,161.204581629017,-28.1664718810951,-15.4731155804429,-0.430427377913897
15.8,-18.94384968117,162.486053516419,-28.1416014208225,-15.4314987440899,-0.405556917641299
15.9,-19.1015667615223,164.059040877628,-28.1762307869305,-15.4463514982812,-0.440186283749299
16,-19.2418203117628,165.417826387592,-28.1820206211033,-15.8429923857164,-0.4459761179221
16.1,-19.4192026390861,166.798117404067,-28.1729357935428,-16.1023219616807,-0.436891290361597
16.2,-19.6091254791877,168.679097414469,-28.1868008975564,-16.118675381849,-0.450756394375198
16.3,-19.7131108528328,170.982632934925,-28.2139413410954,-15.9122958362126,-0.477896837914198
16.4,-19.7393151613307,172.898711897088,-28.180179725889,-15.9885184825493,-0.4441352227078
16.5,-19.8012357995086,174.46215754554,-28.1300299425751,-16.1748743702649,-0.393985439393898
16.6,-19.8927670376487,176.371079606083,-28.1440783611424,-16.224058222541,-0.4080338579612
16.7,-19.9200829407951,178.818565080436,-28.1471667607222,-16.3209107397863,-0.411122257540999
16.8,-19.8186583151808,-179.086397252212,-28.1432016083589,-16.6344028672027,-0.407157105177699
16.9,-19.7223228344751,-177.636685087418,-28.1167038399154,-16.7492725869849,-0.380659336734197
17,-19.7401307966253,-176.038170186368,-28.1646888925692,-16.741752001622,-0.428644389387998
17.1,-19.6851312314837,-173.847920719863,-28.2063244381645,-17.1690031472626,-0.470279934983299
17.2,-19.4984566981497,-171.920909546827,-28.1883949670589,-17.5543837025798,-0.4523504638777
17.3,-19.3171162207234,-170.973248636718,-28.2047931911666,-17.0221797488336,-0.4687486879854
17.4,-19.2313666952561,-170.012906144787,-28.2739956714495,-17.5744252131917,-0.5379511682683
17.5,-19.1200039629042,-168.376700501119,-28.1859273868392,-18.2604451380426,-0.449882883657999
17.6,-18.9137816966422,-167.044812320832,-28.1564392205273,-17.7590829726404,-0.420394717346099
17.7,-18.6829980017166,-166.261594504275,-28.1941615438098,-17.6422319208056,-0.458117040628597
17.8,-18.5415182566761,-165.885599373951,-28.243521858422,-18.0100133141041,-0.507477355240798
17.9,-18.4209128354285,-165.066341718536,-28.2431059336887,-18.5079851688023,-0.507061430507498
18,-18.2055879032456,-164.225742419181,-28.1673291812677,-18.0589411285077,-0.431284678086499
18.1,-17.9650281707188,-163.805888624369,-28.2740481228164,-17.8403061420284,-0.538003619635198
18.2,-17.7896329355212,-163.867014086945,-28.2506973681978,-18.8732630851722,-0.5146528650166
18.3,-17.6548650897097,-163.566485497484,-28.1036612313834,-18.7873972660969,-0.367616728202197
18.4,-17.4616440614902,-163.124199032221,-28.2077660520906,-17.7909648559029,-0.4717215489094
18.5,-17.2492379922961,-163.259366008304,-28.2908501851978,-18.873263749135,-0.5548056820166
18.6,-17.0907274773774,-163.53408896655,-28.2057248968888,-19.2263625812283,-0.469680393707598
18.7,-16.9632241466692,-163.4937573198,-28.1782356373343,-18.9223959668172,-0.442191134153099
18.8,-16.7874886909494,-163.483589875159,-28.2306546905808,-18.0557020374026,-0.494610187399598
18.9,-16.5862062154087,-163.845475624301,-28.3556915405253,-19.4971520967773,-0.619647037344098
19,-16.4652754129419,-164.314934576824,-28.1077437598848,-19.6450728528642,-0.3716992567036
19.1,-16.3468644266204,-164.529429518112,-28.1487440357118,-18.6049833265187,-0.412699532530599
19.2,-16.1868412917155,-164.568611839194,-28.1882821086292,-18.9700339491868,-0.452237605447998
19.3,-16.0089158336236,-165.082305796419,-28.1955536563348,-20.080200652991,-0.459509153153597
19.4,-15.894978638587,-165.898581788783,-28.1432264349716,-19.7326034087244,-0.407181931790397
19.5,-15.8280033830638,-166.233308938392,-28.2678649733779,-19.3390077194519,-0.531820470196699
19.6,-15.7029062755588,-166.351215257636,-28.2255882291631,-19.6813030493406,-0.4895437259819
19.7,-15.5206281276133,-166.922197947857,-28.1967936355533,-20.5218829304355,-0.460749132372097
19.8,-15.411471574744,-167.918871941067,-28.0656708316594,-20.551776391793,-0.329626328478199
19.9,-15.3732393050757,-168.592925553799,-28.1938992855751,-20.1943375077328,-0.457854782393898
20,-15.2921397926933,-168.834306272361,-28.2747104735659,-21.58222317762,-0.538665970384699
20.1,-15.1455857732689,-169.429264694334,-28.2246222633044,-21.9367347683205,-0.488577760123199
20.2,-15.0430646761364,-170.525415220891,-28.2499311286981,-21.6453156236848,-0.5138866255169
20.3,-15.0286431514338,-171.447230030644,-28.3594498316228,-21.7334836467393,-0.623405328441599
20.4,-14.9996514003883,-171.926117683235,-28.3369844430748,-22.5863750899261,-0.6009399398936
20.5,-14.9069888886735,-172.454833732303,-28.2286871237355,-22.4027438990713,-0.4926426205543
20.6,-14.8262964802255,-173.464752062832,-28.3061999022378,-21.7338539522783,-0.570155399056599
20.7,-14.8112412093734,-174.634482402916,-28.4142670403305,-22.0547220180112,-0.678222537149299
20.8,-14.8376637771767,-175.350782493462,-28.3935931503181,-22.7707926724116,-0.657548647136899
20.9,-14.8052014771126,-175.777901995221,-28.3338717768044,-22.4442741362548,-0.597827273623199
21,-14.7408905736143,-176.742806471747,-28.4378020536072,-22.5005374913551,-0.701757550425999
21.1,-14.7507853392869,-177.889956508429,-28.4194580901545,-23.1179453309857,-0.683413586973298
21.2,-14.7959664073659,-178.674370567087,-28.370761992432,-23.2820840023669,-0.6347174892508
21.3,-14.7847434168187,-179.248837392358,-28.3204903964397,-22.8026106963469,-0.584445893258497
21.4,-14.7756259958215,179.784625906833,-28.5071639323899,-22.0776810797469,-0.771119429208699
21.5,-14.8047989283467,178.737776901544,-28.4766884860502,-23.6340794988298,-0.740643982868999
21.6,-14.8643340234333,177.878976356352,-28.397853982541,-23.7814054289443,-0.6618094793598
21.7,-14.884162962452,177.095009295381,-28.4821275990624,-23.4228013629024,-0.7460830958812
21.8,-14.9233722489068,176.260207350146,-28.6072044447435,-23.8888513484854,-0.871159941562297
21.9,-14.9442157074395,175.195665718026,-28.5834620470229,-25.1847996549365,-0.847417543841697
22,-15.0178889349734,174.281445799087,-28.4083119227548,-24.6129232261544,-0.672267419573601
22.1,-15.0619530993681,173.709217677144,-28.5759226543924,-23.577643645286,-0.839878151211199
22.2,-15.0818249716112,172.875054553319,-28.7016631950703,-25.4257113531408,-0.965618691889098
22.3,-15.1480157700095,171.690880954534,-28.5705707871754,-25.9185012583864,-0.834526283994197
22.4,-15.260799692082,170.866363260552,-28.5873984895186,-24.6921926824698,-0.851353986337397
22.5,-15.3106088148869,170.377029540989,-28.7620324561779,-24.7949381783607,-1.0259879529967
22.6,-15.3176783262945,169.547246129192,-28.7263815588059,-25.9553921517363,-0.9903370556247
22.7,-15.391904950526,168.305293051329,-28.6887292059529,-25.6058329031529,-0.952684702771698
22.8,-15.5155811381584,167.422132262931,-28.7779192568223,-25.4108914692669,-1.0418747536411
22.9,-15.6064472986541,166.928168169314,-28.8516823773891,-25.4005058354461,-1.1156378742079
23,-15.6451980835393,166.253476630752,-28.937467319526,-26.7521430499831,-1.2014228163448
23.1,-15.6947927813358,165.136746326257,-28.7262006153262,-25.9283957580174,-0.990156112144998
23.2,-15.8388187685156,163.974104401233,-28.9524826324885,-24.9376383281715,-1.2164381293073
23.3,-15.9841510961961,163.360143386097,-29.0419745935281,-26.6397969017801,-1.3059300903469
23.4,-16.0482653216447,163.004373034217,-28.9616432023399,-26.4126783177566,-1.2255986991587
23.5,-16.1083685060333,161.962027843451,-28.9225301244692,-25.5751688187699,-1.186485621288
23.6,-16.2510505735215,160.697216777954,-29.0260949919366,-25.2908910312576,-1.2900504887554
23.7,-16.4401917499789,160.015039206473,-29.1200042030715,-26.9714939537086,-1.3839596998903
23.8,-16.567174797903,159.617269039827,-28.9327262125854,-26.1993565095092,-1.1966817094042
23.9,-16.6521833263587,158.835165876682,-29.0506114739336,-25.005288428089,-1.3145669707524
24,-16.8021922285606,157.666705904865,-29.1732706599486,-26.2250948054049,-1.4372261567674
24.1,-17.0086689222746,156.735312411543,-29.123691854272,-26.646117871975,-1.3876473510908
24.2,-17.214774369002,156.369043963338,-29.1579812741389,-25.4269830368493,-1.4219367709577
24.3,-17.3461754085934,155.656271648409,-29.2116939288934,-25.8083415248929,-1.4756494257122
24.4,-17.5137318201021,154.664598981109,-29.1184554082984,-26.0514030578057,-1.3824109051172
24.5,-17.7591851928443,153.599839201868,-29.1786382724854,-26.2307718226585,-1.4425937693042
24.6,-18.0180576651586,153.14983365842,-29.0610417127596,-25.6432449660968,-1.3249972095784
24.7,-18.2199727248123,152.69716645977,-29.2411131564182,-25.6813462393265,-1.505068653237
24.8,-18.4416742711554,151.753506051373,-29.2718408085037,-27.0498451988725,-1.5357963053225
24.9,-18.7334569878073,150.806777146617,-29.1738334959796,-26.5766968616715,-1.4377889927984
25,-19.0343920344575,150.345121526034,-29.1674389817228,-26.3411643545139,-1.4313944785416
25.1,-19.286517731548,149.96633376014,-29.2337550929343,-27.0521502172367,-1.4977105897531
25.2,-19.5404424883015,149.119369583985,-29.243950501954,-27.2641342272579,-1.5079059987728
25.3,-19.9035651898553,148.483802740354,-29.2417559223384,-26.6942084949878,-1.5057114191572
25.4,-20.2568384374548,148.382895516004,-29.2856050631145,-26.8991723859548,-1.5495605599333
25.5,-20.5294673070314,148.180698804579,-29.3378145635087,-27.2287096494078,-1.6017700603275
